timestamp,commit,os,arch,threads,variant,causal,seq_len,d_head,time_ms
1783704476,0a745e57,linux,x86_64,4,naive,false,512,64,13.4017
1783704476,0a745e57,linux,x86_64,4,v1,false,512,64,0.7578
1783704476,0a745e57,linux,x86_64,4,v2,false,512,64,0.7387
1783704476,0a745e57,linux,x86_64,4,v3,false,512,64,0.7361
1783704476,0a745e57,linux,x86_64,4,v1,true,512,64,0.8326
1783704476,0a745e57,linux,x86_64,4,v2,true,512,64,0.5725
1783704476,0a745e57,linux,x86_64,4,v3,true,512,64,0.5643
1783704476,0a745e57,linux,x86_64,4,naive,false,1024,64,50.4647
1783704476,0a745e57,linux,x86_64,4,v1,false,1024,64,3.4422
1783704476,0a745e57,linux,x86_64,4,v2,false,1024,64,2.9750
1783704476,0a745e57,linux,x86_64,4,v3,false,1024,64,2.9397
1783704476,0a745e57,linux,x86_64,4,v1,true,1024,64,3.6929
1783704476,0a745e57,linux,x86_64,4,v2,true,1024,64,1.8416
1783704476,0a745e57,linux,x86_64,4,v3,true,1024,64,1.7646
1783704476,0a745e57,linux,x86_64,4,naive,false,2048,64,202.7552
1783704476,0a745e57,linux,x86_64,4,v1,false,2048,64,11.9461
1783704476,0a745e57,linux,x86_64,4,v2,false,2048,64,11.7817
1783704476,0a745e57,linux,x86_64,4,v3,false,2048,64,12.5955
1783704476,0a745e57,linux,x86_64,4,v1,true,2048,64,12.8208
1783704476,0a745e57,linux,x86_64,4,v2,true,2048,64,6.3930
1783704476,0a745e57,linux,x86_64,4,v3,true,2048,64,6.6103
1783704476,0a745e57,linux,x86_64,4,naive,false,1024,128,107.1869
1783704476,0a745e57,linux,x86_64,4,v1,false,1024,128,5.6345
1783704476,0a745e57,linux,x86_64,4,v2,false,1024,128,4.9163
1783704476,0a745e57,linux,x86_64,4,v3,false,1024,128,4.9261
1783704476,0a745e57,linux,x86_64,4,v1,true,1024,128,5.7608
1783704476,0a745e57,linux,x86_64,4,v2,true,1024,128,3.0499
1783704476,0a745e57,linux,x86_64,4,v3,true,1024,128,2.9519
1783704535,0a745e57,windows,x86_64,4,naive,false,256,64,3.2398
1783704535,0a745e57,windows,x86_64,4,v1,false,256,64,0.4393
1783704535,0a745e57,windows,x86_64,4,v2,false,256,64,0.3740
1783704535,0a745e57,windows,x86_64,4,v3,false,256,64,0.4466
1783704535,0a745e57,windows,x86_64,4,v1,true,256,64,0.4338
1783704535,0a745e57,windows,x86_64,4,v2,true,256,64,0.3215
1783704535,0a745e57,windows,x86_64,4,v3,true,256,64,0.3757
1783704535,0a745e57,windows,x86_64,4,naive,false,512,64,12.3982
1783704535,0a745e57,windows,x86_64,4,v1,false,512,64,0.9514
1783704535,0a745e57,windows,x86_64,4,v2,false,512,64,0.9093
1783704535,0a745e57,windows,x86_64,4,v3,false,512,64,0.9223
1783704535,0a745e57,windows,x86_64,4,v1,true,512,64,0.9572
1783704535,0a745e57,windows,x86_64,4,v2,true,512,64,0.6646
